Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,Récollets - Square Villemin,10016,"[48.875034655883944, 2.359801238597928]",Paris,228,814,1697,4011
2022-11-15 20:02:48,Roger Salengro - Fontainebleau,42706,"[48.814548697324845, 2.36116636544466]",Le Kremlin-Bicêtre,420,1431,2977,7179
2022-11-15 20:02:48,Jourdain - Place des Grandes Rigoles,20112,"[48.87403113727167, 2.38959476351738]",Paris,230,818,1702,4118
2022-11-15 20:02:48,Pajol - Place Herbert,18011,"[48.8927825, 2.3635598]",Paris,180,595,1313,3121
2022-11-15 20:02:48,Gabriel Péri - Francisco Ferrer,33102,"[48.88633710236977, 2.407338917255402]",Le Pré-Saint-Gervais,207,688,1449,3430
2022-11-15 20:02:48,Port-Royal - Hôpital du Val-de-Grâce,13001,"[48.8376682728114, 2.344813834660711]",Paris,347,1165,2462,5987
2022-11-15 20:02:48,Hôpital Européen Georges Pompidou,15104,"[48.83769531916335, 2.275374233722687]",Paris,343,1156,2450,5969
2022-11-15 20:02:48,Fédération - Suffren,15105,"[48.852828153442346, 2.2978776320815086]",Paris,296,1027,2134,5183
2022-11-15 20:02:48,Carducci - Place Hannah Arendt,19120,"[48.877436681515796, 2.3860743641853337]",Paris,230,774,1637,3919
2022-11-15 20:02:48,Saint-Jacques - Val de Grâce,5004,"[48.8417514, 2.3413893]",Paris,347,1120,2398,5788
2022-11-15 20:02:48,Manin - Carrières d'Amérique,19103,"[48.88467214209463, 2.3919698596000676]",Paris,206,686,1446,3525
2022-11-15 20:02:48,Porte de Vanves,14138,"[48.828012849445, 2.3056878894567]",Paris,369,1292,2712,6472
2022-11-15 20:02:48,Cimetière de Fontenay-sous-Bois,41209,"[48.84706173362218, 2.4787822365760808]",Fontenay-sous-Bois,332,1092,2293,5528
2022-11-15 20:02:48,Place Albert Kahn,18031,"[48.8957969797804, 2.345585584134864]",Paris,179,593,1246,2918
2022-11-15 20:02:48,Championnet - Vauvenargues,18028,"[48.89401874744574, 2.3319872841238976]",Paris,178,591,1244,3014
2022-11-15 20:02:48,Rocher - Laborde,8017,"[48.87590240712654, 2.322616316378116]",Paris,226,766,1626,4001
2022-11-15 20:02:48,Grenelle - Violet,15106,"[48.84993035512154, 2.294612042605877]",Paris,320,1027,2198,5281
2022-11-15 20:02:48,Marc Sangnier - Porte de Vanves,14106,"[48.825218683556734, 2.3107116669416428]",Paris,393,1293,2776,6572
2022-11-15 20:02:48,Etienne Jodelle - Saint Ouen,18046,"[48.88794016394694, 2.326124420314341]",Paris,202,634,1371,3309
2022-11-15 20:02:48,Guy Môquet - Etienne Dolet,22406,"[48.81527009991819, 2.298078276995073]",Malakoff,416,1423,2966,7163
2022-11-15 20:02:48,Enghien - Faubourg Poissonnière,10042,"[48.872420063053, 2.3483952362828]",Paris,251,813,1759,4107
